name,artist,album,popularity,release_date,duration_min,explicit
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),0,2018-12-14,2.63,False
How to disappear,Lana Del Rey,Norman Fucking Rockwell!,0,2019-08-30,3.8,False
Kaadhal Endral,Yuvan Shankar Raja,Goa (Original Motion Picture Soundtrack),0,2010-01-01,1.45,False
Futile Devices (Doveman Remix),Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),0,2017-11-03,2.26,False
End of Beginning,Djo,DECIDE,0,2022-09-16,2.65,False
Thathai Thathai,Yuvan Shankar Raja,Manmadhan (Original Motion Picture Soundtrack),0,2004-07-01,5.89,False
Video Games,Lana Del Rey,Born To Die - The Paradise Edition,0,2012-01-01,4.7,False
Million Dollar Man,Lana Del Rey,Born To Die - The Paradise Edition,0,2012-01-01,3.86,False
En Jannal Vandha,Yuvan Shankar Raja,Theeratha Vilayaatu Pillai (Original Motion Picture Soundtrack),0,2009-12-11,4.72,False
Vechukkava - Remix,Yuvan Shankar Raja,Silambattam (Original Motion Picture Soundtrack),0,2008-10-25,4.7,False
Cinnamon Girl,Lana Del Rey,Norman Fucking Rockwell!,0,2019-08-30,5.01,False
Brooklyn Baby,Lana Del Rey,Ultraviolence (Deluxe),0,2014-01-01,5.86,True
Enchanted,Taylor Swift,Speak Now,0,2010-10-25,5.87,False
Mariners Apartment Complex,Lana Del Rey,Norman Fucking Rockwell!,0,2019-08-30,4.12,True
Reminder,The Weeknd,Starboy,0,2016-11-25,3.65,True
"Agalaathey - From ""Nerkonda Paarvai""",Yuvan Shankar Raja,"Agalaathey (From ""Nerkonda Paarvai"")",0,2019-07-25,4.6,False
"Oru Kal - Yuvan Shankar Raja - From ""Siva Manasula Sakthi""",Yuvan Shankar Raja,Siva Manasula Sakthi (Original Motion Picture Soundtrack),0,2009-01-25,5.1,False
Loosu Pennae,Yuvan Shankar Raja,Vallavan (Original Motion Picture Soundtrack),0,2006-12-15,6.86,False
Nallamdhana,Yuvan Shankar Raja,Silambattam (Original Motion Picture Soundtrack),0,2008-10-25,6.22,False
Ammadi Aathadi,Yuvan Shankar Raja,Vallavan (Original Motion Picture Soundtrack),0,2006-12-15,5.49,False
Dope Track,Yuvan Shankar Raja,Pyaar Prema Kaadhal (Original Motion Picture Soundtrack),0,2018-02-13,4.18,False
No Money No Honey,Silambarasan TR,Vaanam (Original Motion Picture Soundtrack),0,2010-11-28,5.4,False
Vaaya moodi summa iru da,K. Krishna Kumar,Vaaya moodi summa iru da,0,2012-06-12,4.56,False
Happiness is a butterfly,Lana Del Rey,Norman Fucking Rockwell!,0,2019-08-30,4.54,False
Born To Die,Lana Del Rey,Born To Die - The Paradise Edition,0,2012-01-01,4.76,False
K.,Cigarettes After Sex,Cigarettes After Sex,0,2017-06-09,5.33,False
That Should Be Me,Justin Bieber,My World 2.0,0,2010-01-01,3.88,False
Saroja Saman Nikolo,Shankar Mahadevan,Chennai-600028 (Original Motion Picture Soundtrack),0,2013-04-19,4.23,False
Kannazhaga - The Kiss of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),0,2011-12-23,3.43,False
Machi Open the Bottle,Yuvan Shankar Raja,Mankatha (Original Motion Picture Soundtrack),0,2011-08-10,4.79,False
No Pole,Don Toliver,Love Sick (Deluxe),0,2023-02-28,3.13,True
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,0,2024-05-17,3.51,False
Netru Aval Irundhaal,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),0,2013-05-13,4.98,False
Love song,Lana Del Rey,Norman Fucking Rockwell!,0,2019-08-30,3.82,True
Black Beauty,Lana Del Rey,Ultraviolence (Deluxe),0,2014-01-01,5.24,False
Evan Di Una Pethan,Silambarasan TR,Vaanam (Original Motion Picture Soundtrack),0,2010-11-28,5.94,False
Jalsa,Ranjith Govind,Chennai-600028 (Original Motion Picture Soundtrack),0,2013-04-19,3.95,False
Old Money,Lana Del Rey,Ultraviolence (Deluxe),0,2014-01-01,4.52,False
Varriyaa - Night Life,Yuvan Shankar Raja,Pudhupettai (Original Motion Picture Soundtrack),0,2005-12-15,3.47,False
Pogadhe,Yuvan Shankar Raja,Deepavali (Original Motion Picture Soundtrack),0,2007-01-05,5.51,False
West Coast,Lana Del Rey,Ultraviolence (Deluxe),0,2014-01-01,4.28,False
En Aasai Mythiliye,Yuvan Shankar Raja,Manmadhan (Original Motion Picture Soundtrack),0,2004-07-01,4.37,False
Timeless (feat Playboi Carti),The Weeknd,Hurry Up Tomorrow,0,2025-01-31,4.27,True
illicit affairs,Taylor Swift,folklore,0,2020-07-24,3.18,False
Thunder,Lana Del Rey,Blue Banisters,0,2021-10-22,4.32,True
Wake Me Up (feat. Justice),The Weeknd,Hurry Up Tomorrow,0,2025-01-31,5.14,False
Kanave Kanave,Anirudh Ravichander,David,0,2013-01-10,4.75,False
Cherry,Lana Del Rey,Lust For Life,0,2017-07-21,3.02,True
Blue Jeans,Lana Del Rey,Born To Die - The Paradise Edition,0,2012-01-01,3.49,True
Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),0,2011-12-23,3.41,False
